Canton,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"In CHF million, at current prices",,,,,,,,,,,,
Zurich,135’976,133’708,136’506,139’015,140’806,142’919,146’151,146’396,147’367,150’715,158’753,157’389
Berne,73’670,72’638,75’267,76’434,76’388,77’685,79’180,79’732,79’542,79’627,81’727,83’337
Lucerne,23’210,22’772,24’355,24’732,25’203,25’840,26’500,26’751,27’200,27’658,28’132,28’656
Uri,1’782,1’787,1’803,1’871,1’828,1’896,1’889,1’935,1’941,1’916,1’983,2’019
Schwyz,8’347,8’446,8’612,8’598,8’706,9’006,9’084,9’249,9’416,9’578,9’834,10’082
Obwalden,2’235,2’221,2’368,2’401,2’397,2’406,2’419,2’436,2’498,2’502,2’549,2’664
Nidwalden,2’539,2’522,2’741,2’798,2’876,3’075,3’170,2’999,2’940,3’058,3’103,3’088
Glarus,2’547,2’479,2’544,2’608,2’617,2’732,2’779,2’755,2’756,2’887,2’826,2’932
Zug,16’588,16’454,18’112,18’263,18’448,19’679,19’180,18’925,19’340,19’537,20’119,20’831
Fribourg,16’358,15’980,16’543,16’933,17’046,17’897,18’524,18’530,18’556,18’933,19’385,19’828
Solothurn,16’885,16’275,16’831,17’111,17’296,17’605,17’931,17’946,18’004,18’220,18’629,18’879
Basel-Stadt,31’109,30’720,31’151,31’936,32’160,32’379,33’050,33’747,35’992,38’212,39’071,39’193
Basel-Landschaft,18’743,18’428,19’112,19’434,19’324,19’623,20’251,20’142,20’138,20’798,21’046,21’062
Schaffhausen,6’355,6’203,6’724,6’840,6’917,7’029,6’990,7’031,7’201,7’179,7’458,7’583
Appenzell A. Rh.,2’956,2’854,2’990,3’045,3’039,3’156,3’207,3’107,3’135,3’147,3’259,3’312
Appenzell I. Rh.,854,838,906,929,937,971,1’005,1’004,1’021,1’015,1’049,1’061
St. Gallen,34’505,33’507,34’955,35’693,35’826,36’696,37’339,36’967,37’563,37’882,38’596,39’489
Graubünden,12’804,12’846,13’277,13’567,13’713,14’008,14’172,14’287,14’394,14’191,14’624,15’070
Aargau,38’847,38’018,38’747,39’609,39’862,40’767,41’228,41’926,42’313,42’832,44’086,45’005
Thurgau,14’660,14’273,15’081,15’563,15’724,16’135,16’400,16’355,16’712,16’771,17’274,17’648
Ticino,26’504,26’014,26’835,27’349,27’838,28’915,29’536,30’251,30’382,29’638,30’946,31’453
Vaud,46’858,46’871,49’326,50’499,53’831,52’482,54’050,54’442,57’902,55’816,59’199,59’503
Valais,16’307,16’705,17’223,17’439,17’447,17’686,17’870,18’221,18’303,18’539,19’512,20’016
Neuchâtel,13’662,12’796,13’175,14’234,14’603,14’881,15’210,15’836,15’612,15’818,16’507,16’704
Geneva,48’982,47’872,49’868,49’873,49’630,50’446,50’846,50’048,50’483,52’370,54’530,55’235
Jura,4’415,4’150,4’274,4’425,4’514,4’736,4’859,4’717,4’728,4’853,5’073,5’173
Switzerland,617’696,607’377,629’325,641’200,648’981,660’649,672’818,675’736,685’441,693’694,719’272,727’212
,.,.,.,.,.,.,.,.,.,.,.,.
